"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2009"	"2009"	28	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2009"	"2009"	127	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2009"	"2009"	338	32100	10.52960
	"Alabama"	"01"	"16 years"	"16"	"2009"	"2009"	709	33132	21.39925
	"Alabama"	"01"	"17 years"	"17"	"2009"	"2009"	1446	33012	43.80225
	"Alabama"	"01"	"18 years"	"18"	"2009"	"2009"	2310	34807	66.36596
	"Alabama"	"01"	"19 years"	"19"	"2009"	"2009"	3402	36816	92.40548
	"Alabama"	"01"	"20 years"	"20"	"2009"	"2009"	3797	34884	108.84646
	"Alabama"	"01"	"21 years"	"21"	"2009"	"2009"	3830	33787	113.35721
	"Alabama"	"01"	"22 years"	"22"	"2009"	"2009"	3816	32753	116.50841
	"Alabama"	"01"	"23 years"	"23"	"2009"	"2009"	3761	32835	114.54241
	"Alabama"	"01"	"24 years"	"24"	"2009"	"2009"	3714	32028	115.96103
	"Alabama"	"01"	"25 years"	"25"	"2009"	"2009"	3732	31069	120.11973
	"Alabama"	"01"	"26 years"	"26"	"2009"	"2009"	3844	31594	121.66867
	"Alabama"	"01"	"27 years"	"27"	"2009"	"2009"	3642	31010	117.44599
	"Alabama"	"01"	"28 years"	"28"	"2009"	"2009"	3517	33490	105.01642
	"Alabama"	"01"	"29 years"	"29"	"2009"	"2009"	3351	30798	108.80577
	"Alabama"	"01"	"30 years"	"30"	"2009"	"2009"	2984	30811	96.84853
	"Alabama"	"01"	"31 years"	"31"	"2009"	"2009"	2656	29574	89.80862
	"Alabama"	"01"	"32 years"	"32"	"2009"	"2009"	2361	29686	79.53244
	"Alabama"	"01"	"33 years"	"33"	"2009"	"2009"	1891	29019	65.16420
	"Alabama"	"01"	"34 years"	"34"	"2009"	"2009"	1679	29825	56.29505
	"Alabama"	"01"	"35 years"	"35"	"2009"	"2009"	1333	29809	44.71804
	"Alabama"	"01"	"36 years"	"36"	"2009"	"2009"	1105	30521	36.20458
	"Alabama"	"01"	"37 years"	"37"	"2009"	"2009"	934	32205	29.00171
	"Alabama"	"01"	"38 years"	"38"	"2009"	"2009"	714	33490	21.31980
	"Alabama"	"01"	"39 years"	"39"	"2009"	"2009"	512	33461	15.30140
	"Alabama"	"01"	"40 years"	"40"	"2009"	"2009"	366	30878	11.85310
	"Alabama"	"01"	"41 years"	"41"	"2009"	"2009"	244	30778	7.92774
	"Alabama"	"01"	"42 years"	"42"	"2009"	"2009"	158	31094	5.08137
	"Alabama"	"01"	"43 years"	"43"	"2009"	"2009"	77	32240	2.38834
	"Alabama"	"01"	"44 years"	"44"	"2009"	"2009"	47	34554	1.36019
	"Alabama"	"01"	"45 years"	"45"	"2009"	"2009"	22	Not Available	Not Available
	"Alabama"	"01"	"46 years"	"46"	"2009"	"2009"	10	Not Available	Not Available
	"Alaska"	"02"	"15 years"	"15"	"2009"	"2009"	31	5186	5.97763
	"Alaska"	"02"	"16 years"	"16"	"2009"	"2009"	88	5268	16.70463
	"Alaska"	"02"	"17 years"	"17"	"2009"	"2009"	168	5190	32.36994
	"Alaska"	"02"	"18 years"	"18"	"2009"	"2009"	341	5223	65.28815
	"Alaska"	"02"	"19 years"	"19"	"2009"	"2009"	478	4735	100.95037
	"Alaska"	"02"	"20 years"	"20"	"2009"	"2009"	574	4580	125.32751
	"Alaska"	"02"	"21 years"	"21"	"2009"	"2009"	621	4798	129.42893
	"Alaska"	"02"	"22 years"	"22"	"2009"	"2009"	587	4759	123.34524
	"Alaska"	"02"	"23 years"	"23"	"2009"	"2009"	671	4741	141.53132
	"Alaska"	"02"	"24 years"	"24"	"2009"	"2009"	693	5484	126.36761
	"Alaska"	"02"	"25 years"	"25"	"2009"	"2009"	729	5006	145.62525
	"Alaska"	"02"	"26 years"	"26"	"2009"	"2009"	727	5366	135.48267
	"Alaska"	"02"	"27 years"	"27"	"2009"	"2009"	627	5143	121.91328
	"Alaska"	"02"	"28 years"	"28"	"2009"	"2009"	700	4790	146.13779
	"Alaska"	"02"	"29 years"	"29"	"2009"	"2009"	627	4978	125.95420
	"Alaska"	"02"	"30 years"	"30"	"2009"	"2009"	520	4606	112.89622
	"Alaska"	"02"	"31 years"	"31"	"2009"	"2009"	517	4553	113.55150
	"Alaska"	"02"	"32 years"	"32"	"2009"	"2009"	458	4423	103.54963
	"Alaska"	"02"	"33 years"	"33"	"2009"	"2009"	439	4263	102.97912
	"Alaska"	"02"	"34 years"	"34"	"2009"	"2009"	334	4240	78.77358
