"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2013"	"2013"	10	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2013"	"2013"	52	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2013"	"2013"	166	31416	5.28393
	"Alabama"	"01"	"16 years"	"16"	"2013"	"2013"	412	30834	13.36187
	"Alabama"	"01"	"17 years"	"17"	"2013"	"2013"	893	31025	28.78324
	"Alabama"	"01"	"18 years"	"18"	"2013"	"2013"	1454	31549	46.08704
	"Alabama"	"01"	"19 years"	"19"	"2013"	"2013"	2467	32275	76.43687
	"Alabama"	"01"	"20 years"	"20"	"2013"	"2013"	3107	33482	92.79613
	"Alabama"	"01"	"21 years"	"21"	"2013"	"2013"	3405	35176	96.79895
	"Alabama"	"01"	"22 years"	"22"	"2013"	"2013"	3619	37295	97.03714
	"Alabama"	"01"	"23 years"	"23"	"2013"	"2013"	3582	36820	97.28408
	"Alabama"	"01"	"24 years"	"24"	"2013"	"2013"	3609	34113	105.79544
	"Alabama"	"01"	"25 years"	"25"	"2013"	"2013"	3502	32328	108.32715
	"Alabama"	"01"	"26 years"	"26"	"2013"	"2013"	3644	31447	115.87751
	"Alabama"	"01"	"27 years"	"27"	"2013"	"2013"	3550	31436	112.92785
	"Alabama"	"01"	"28 years"	"28"	"2013"	"2013"	3476	31713	109.60805
	"Alabama"	"01"	"29 years"	"29"	"2013"	"2013"	3308	30972	106.80615
	"Alabama"	"01"	"30 years"	"30"	"2013"	"2013"	3127	31221	100.15695
	"Alabama"	"01"	"31 years"	"31"	"2013"	"2013"	2879	31332	91.88689
	"Alabama"	"01"	"32 years"	"32"	"2013"	"2013"	2372	31544	75.19655
	"Alabama"	"01"	"33 years"	"33"	"2013"	"2013"	2124	32374	65.60820
	"Alabama"	"01"	"34 years"	"34"	"2013"	"2013"	1823	30608	59.55959
	"Alabama"	"01"	"35 years"	"35"	"2013"	"2013"	1423	30393	46.81999
	"Alabama"	"01"	"36 years"	"36"	"2013"	"2013"	1163	30203	38.50611
	"Alabama"	"01"	"37 years"	"37"	"2013"	"2013"	854	29061	29.38646
	"Alabama"	"01"	"38 years"	"38"	"2013"	"2013"	700	30202	23.17727
	"Alabama"	"01"	"39 years"	"39"	"2013"	"2013"	491	29596	16.59008
	"Alabama"	"01"	"40 years"	"40"	"2013"	"2013"	357	30734	11.61580
	"Alabama"	"01"	"41 years"	"41"	"2013"	"2013"	252	32110	7.84802
	"Alabama"	"01"	"42 years"	"42"	"2013"	"2013"	156	33870	4.60585
	"Alabama"	"01"	"43 years"	"43"	"2013"	"2013"	77	33254	2.31551
	"Alabama"	"01"	"44 years"	"44"	"2013"	"2013"	55	31373	1.75310
	"Alabama"	"01"	"45 years"	"45"	"2013"	"2013"	33	Not Available	Not Available
	"Alabama"	"01"	"46 years"	"46"	"2013"	"2013"	10	Not Available	Not Available
	"Alaska"	"02"	"15 years"	"15"	"2013"	"2013"	24	4868	4.93016
	"Alaska"	"02"	"16 years"	"16"	"2013"	"2013"	42	4916	8.54353
	"Alaska"	"02"	"17 years"	"17"	"2013"	"2013"	96	4967	19.32756
	"Alaska"	"02"	"18 years"	"18"	"2013"	"2013"	184	4451	41.33902
	"Alaska"	"02"	"19 years"	"19"	"2013"	"2013"	362	4184	86.52008
	"Alaska"	"02"	"20 years"	"20"	"2013"	"2013"	441	4569	96.52003
	"Alaska"	"02"	"21 years"	"21"	"2013"	"2013"	578	5210	110.94050
	"Alaska"	"02"	"22 years"	"22"	"2013"	"2013"	653	5684	114.88388
	"Alaska"	"02"	"23 years"	"23"	"2013"	"2013"	650	5826	111.56883
	"Alaska"	"02"	"24 years"	"24"	"2013"	"2013"	675	5688	118.67089
	"Alaska"	"02"	"25 years"	"25"	"2013"	"2013"	742	5633	131.72377
	"Alaska"	"02"	"26 years"	"26"	"2013"	"2013"	679	5465	124.24520
	"Alaska"	"02"	"27 years"	"27"	"2013"	"2013"	729	5601	130.15533
	"Alaska"	"02"	"28 years"	"28"	"2013"	"2013"	722	5676	127.20226
	"Alaska"	"02"	"29 years"	"29"	"2013"	"2013"	675	5418	124.58472
	"Alaska"	"02"	"30 years"	"30"	"2013"	"2013"	691	5573	123.99067
	"Alaska"	"02"	"31 years"	"31"	"2013"	"2013"	582	5209	111.72970
	"Alaska"	"02"	"32 years"	"32"	"2013"	"2013"	532	5064	105.05529
	"Alaska"	"02"	"33 years"	"33"	"2013"	"2013"	491	5087	96.52054
