"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2008"	"2008"	31	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2008"	"2008"	120	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2008"	"2008"	330	32776	10.06834
	"Alabama"	"01"	"16 years"	"16"	"2008"	"2008"	768	33238	23.10608
	"Alabama"	"01"	"17 years"	"17"	"2008"	"2008"	1471	33415	44.02215
	"Alabama"	"01"	"18 years"	"18"	"2008"	"2008"	2468	35030	70.45390
	"Alabama"	"01"	"19 years"	"19"	"2008"	"2008"	3522	34916	100.87066
	"Alabama"	"01"	"20 years"	"20"	"2008"	"2008"	3833	33741	113.60066
	"Alabama"	"01"	"21 years"	"21"	"2008"	"2008"	3953	33373	118.44905
	"Alabama"	"01"	"22 years"	"22"	"2008"	"2008"	4024	33308	120.81182
	"Alabama"	"01"	"23 years"	"23"	"2008"	"2008"	4108	32842	125.08373
	"Alabama"	"01"	"24 years"	"24"	"2008"	"2008"	4062	30999	131.03649
	"Alabama"	"01"	"25 years"	"25"	"2008"	"2008"	3957	31276	126.51874
	"Alabama"	"01"	"26 years"	"26"	"2008"	"2008"	3785	31429	120.43018
	"Alabama"	"01"	"27 years"	"27"	"2008"	"2008"	3845	33805	113.74057
	"Alabama"	"01"	"28 years"	"28"	"2008"	"2008"	3684	31959	115.27269
	"Alabama"	"01"	"29 years"	"29"	"2008"	"2008"	3332	29370	113.44910
	"Alabama"	"01"	"30 years"	"30"	"2008"	"2008"	2963	29790	99.46291
	"Alabama"	"01"	"31 years"	"31"	"2008"	"2008"	2703	28776	93.93244
	"Alabama"	"01"	"32 years"	"32"	"2008"	"2008"	2210	28608	77.25112
	"Alabama"	"01"	"33 years"	"33"	"2008"	"2008"	1892	29769	63.55605
	"Alabama"	"01"	"34 years"	"34"	"2008"	"2008"	1654	29439	56.18397
	"Alabama"	"01"	"35 years"	"35"	"2008"	"2008"	1462	30372	48.13644
	"Alabama"	"01"	"36 years"	"36"	"2008"	"2008"	1145	31870	35.92720
	"Alabama"	"01"	"37 years"	"37"	"2008"	"2008"	1033	33394	30.93370
	"Alabama"	"01"	"38 years"	"38"	"2008"	"2008"	724	33181	21.81972
	"Alabama"	"01"	"39 years"	"39"	"2008"	"2008"	542	31189	17.37792
	"Alabama"	"01"	"40 years"	"40"	"2008"	"2008"	359	30109	11.92335
	"Alabama"	"01"	"41 years"	"41"	"2008"	"2008"	231	31080	7.43243
	"Alabama"	"01"	"42 years"	"42"	"2008"	"2008"	144	32409	4.44321
	"Alabama"	"01"	"43 years"	"43"	"2008"	"2008"	92	34602	2.65881
	"Alabama"	"01"	"44 years"	"44"	"2008"	"2008"	52	34615	1.50224
	"Alabama"	"01"	"45 years"	"45"	"2008"	"2008"	22	Not Available	Not Available
	"Alaska"	"02"	"15 years"	"15"	"2008"	"2008"	27	5198	5.19431
	"Alaska"	"02"	"16 years"	"16"	"2008"	"2008"	90	5260	17.11027
	"Alaska"	"02"	"17 years"	"17"	"2008"	"2008"	184	5399	34.08039
	"Alaska"	"02"	"18 years"	"18"	"2008"	"2008"	333	5435	61.26955
	"Alaska"	"02"	"19 years"	"19"	"2008"	"2008"	501	4393	114.04507
