"Notes"	"State"	"State Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"13 years"	"13"	"2010"	"2010"	21	Not Available	Not Available
	"Alabama"	"01"	"14 years"	"14"	"2010"	"2010"	84	Not Available	Not Available
	"Alabama"	"01"	"15 years"	"15"	"2010"	"2010"	261	31674	8.24020
	"Alabama"	"01"	"16 years"	"16"	"2010"	"2010"	662	32430	20.41320
	"Alabama"	"01"	"17 years"	"17"	"2010"	"2010"	1301	32887	39.55970
	"Alabama"	"01"	"18 years"	"18"	"2010"	"2010"	2014	34548	58.29570
	"Alabama"	"01"	"19 years"	"19"	"2010"	"2010"	3105	36781	84.41859
	"Alabama"	"01"	"20 years"	"20"	"2010"	"2010"	3465	36159	95.82677
	"Alabama"	"01"	"21 years"	"21"	"2010"	"2010"	3568	34370	103.81146
	"Alabama"	"01"	"22 years"	"22"	"2010"	"2010"	3635	33112	109.77893
	"Alabama"	"01"	"23 years"	"23"	"2010"	"2010"	3505	32190	108.88475
	"Alabama"	"01"	"24 years"	"24"	"2010"	"2010"	3572	31971	111.72625
	"Alabama"	"01"	"25 years"	"25"	"2010"	"2010"	3740	31740	117.83239
	"Alabama"	"01"	"26 years"	"26"	"2010"	"2010"	3631	31282	116.07314
	"Alabama"	"01"	"27 years"	"27"	"2010"	"2010"	3593	31234	115.03490
	"Alabama"	"01"	"28 years"	"28"	"2010"	"2010"	3458	31224	110.74814
	"Alabama"	"01"	"29 years"	"29"	"2010"	"2010"	3261	31838	102.42478
	"Alabama"	"01"	"30 years"	"30"	"2010"	"2010"	3046	32070	94.97973
	"Alabama"	"01"	"31 years"	"31"	"2010"	"2010"	2653	30121	88.07809
	"Alabama"	"01"	"32 years"	"32"	"2010"	"2010"	2287	30432	75.15116
	"Alabama"	"01"	"33 years"	"33"	"2010"	"2010"	1942	29635	65.53062
	"Alabama"	"01"	"34 years"	"34"	"2010"	"2010"	1650	29206	56.49524
	"Alabama"	"01"	"35 years"	"35"	"2010"	"2010"	1410	30178	46.72278
	"Alabama"	"01"	"36 years"	"36"	"2010"	"2010"	1090	29690	36.71270
	"Alabama"	"01"	"37 years"	"37"	"2010"	"2010"	838	31119	26.92889
	"Alabama"	"01"	"38 years"	"38"	"2010"	"2010"	709	32385	21.89285
	"Alabama"	"01"	"39 years"	"39"	"2010"	"2010"	543	33980	15.97999
	"Alabama"	"01"	"40 years"	"40"	"2010"	"2010"	409	32848	12.45129
	"Alabama"	"01"	"41 years"	"41"	"2010"	"2010"	272	31204	8.71683
	"Alabama"	"01"	"42 years"	"42"	"2010"	"2010"	154	30710	5.01465
	"Alabama"	"01"	"43 years"	"43"	"2010"	"2010"	78	31071	2.51038
	"Alabama"	"01"	"44 years"	"44"	"2010"	"2010"	43	32531	1.32182
	"Alabama"	"01"	"45 years"	"45"	"2010"	"2010"	24	Not Available	Not Available
	"Alabama"	"01"	"46 years"	"46"	"2010"	"2010"	13	Not Available	Not Available
