"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"15 years"	"15"	"2013"	"2013"	16	6599	2.42461
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"16 years"	"16"	"2013"	"2013"	32	6592	4.85437
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"17 years"	"17"	"2013"	"2013"	56	6632	8.44391
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"18 years"	"18"	"2013"	"2013"	90	6679	13.47507
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"19 years"	"19"	"2013"	"2013"	169	6330	26.69826
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"20 years"	"20"	"2013"	"2013"	193	6260	30.83067
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"21 years"	"21"	"2013"	"2013"	237	5572	42.53410
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"22 years"	"22"	"2013"	"2013"	228	4829	47.21474
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"23 years"	"23"	"2013"	"2013"	268	4755	56.36172
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"24 years"	"24"	"2013"	"2013"	291	4908	59.29095
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"25 years"	"25"	"2013"	"2013"	302	4916	61.43206
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"26 years"	"26"	"2013"	"2013"	363	5246	69.19558
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"27 years"	"27"	"2013"	"2013"	400	5254	76.13247
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"28 years"	"28"	"2013"	"2013"	491	5200	94.42308
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"29 years"	"29"	"2013"	"2013"	591	5268	112.18679
