"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"15 years"	"15"	"2009"	"2009"	22	6691	3.28800
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"16 years"	"16"	"2009"	"2009"	42	6577	6.38589
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"17 years"	"17"	"2009"	"2009"	103	6702	15.36855
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"18 years"	"18"	"2009"	"2009"	151	5502	27.44457
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"19 years"	"19"	"2009"	"2009"	208	4976	41.80064
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"20 years"	"20"	"2009"	"2009"	258	4759	54.21307
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"21 years"	"21"	"2009"	"2009"	273	4624	59.03979
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"22 years"	"22"	"2009"	"2009"	310	4789	64.73168
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"23 years"	"23"	"2009"	"2009"	288	5047	57.06360
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"24 years"	"24"	"2009"	"2009"	316	4911	64.34535
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"25 years"	"25"	"2009"	"2009"	334	4651	71.81251
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"26 years"	"26"	"2009"	"2009"	414	5266	78.61755
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"27 years"	"27"	"2009"	"2009"	496	4837	102.54290
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"28 years"	"28"	"2009"	"2009"	566	5094	111.11111
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"29 years"	"29"	"2009"	"2009"	625	5246	119.13839
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"30 years"	"30"	"2009"	"2009"	669	5461	122.50504
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"31 years"	"31"	"2009"	"2009"	690	5166	133.56562
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"32 years"	"32"	"2009"	"2009"	685	5379	127.34709
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"33 years"	"33"	"2009"	"2009"	654	5356	122.10605
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"34 years"	"34"	"2009"	"2009"	699	5598	124.86602
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"35 years"	"35"	"2009"	"2009"	642	5555	115.57156
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"36 years"	"36"	"2009"	"2009"	550	5969	92.14274
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"37 years"	"37"	"2009"	"2009"	470	6263	75.04391
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"38 years"	"38"	"2009"	"2009"	417	6889	60.53128
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"39 years"	"39"	"2009"	"2009"	320	7145	44.78656
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"40 years"	"40"	"2009"	"2009"	273	7074	38.59203
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"41 years"	"41"	"2009"	"2009"	170	6985	24.33787
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"42 years"	"42"	"2009"	"2009"	108	7510	14.38083
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"43 years"	"43"	"2009"	"2009"	73	7759	9.40843
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"44 years"	"44"	"2009"	"2009"	35	7949	4.40307
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"45 years"	"45"	"2009"	"2009"	26	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"46 years"	"46"	"2009"	"2009"	15	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"15 years"	"15"	"2009"	"2009"	40	6088	6.57030
	"Census Region 1: Northeast"	"CENS-R1"	"Hartford County, CT"	"09003"	"16 years"	"16"	"2009"	"2009"	82	6429	12.75471
