"Notes"	"Census Region"	"Census Region Code"	"County"	"County Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"15 years"	"15"	"2008"	"2008"	16	6517	2.45512
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"16 years"	"16"	"2008"	"2008"	54	6771	7.97519
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"17 years"	"17"	"2008"	"2008"	107	6408	16.69788
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"18 years"	"18"	"2008"	"2008"	167	5791	28.83785
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"19 years"	"19"	"2008"	"2008"	234	4831	48.43718
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"20 years"	"20"	"2008"	"2008"	271	4654	58.22948
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"21 years"	"21"	"2008"	"2008"	301	4642	64.84274
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"22 years"	"22"	"2008"	"2008"	331	4698	70.45551
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"23 years"	"23"	"2008"	"2008"	296	4903	60.37120
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"24 years"	"24"	"2008"	"2008"	366	4569	80.10506
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"25 years"	"25"	"2008"	"2008"	362	5101	70.96648
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"26 years"	"26"	"2008"	"2008"	396	4727	83.77406
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"27 years"	"27"	"2008"	"2008"	495	4610	107.37527
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"28 years"	"28"	"2008"	"2008"	553	5120	108.00781
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"29 years"	"29"	"2008"	"2008"	596	5044	118.16019
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"30 years"	"30"	"2008"	"2008"	639	5219	122.43725
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"31 years"	"31"	"2008"	"2008"	684	5344	127.99401
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"32 years"	"32"	"2008"	"2008"	713	5276	135.14026
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"33 years"	"33"	"2008"	"2008"	691	5540	124.72924
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"34 years"	"34"	"2008"	"2008"	697	5455	127.77269
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"35 years"	"35"	"2008"	"2008"	640	5805	110.24978
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"36 years"	"36"	"2008"	"2008"	592	6300	93.96825
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"37 years"	"37"	"2008"	"2008"	530	6771	78.27500
	"Census Region 1: Northeast"	"CENS-R1"	"Fairfield County, CT"	"09001"	"38 years"	"38"	"2008"	"2008"	429	7156	59.94969
