County,Year,Fertility Rate
"Anne Arundel County, MD",2009.0,2.0101057099999995
"Anne Arundel County, MD",2010.0,2.019194
"Anne Arundel County, MD",2011.0,1.91430576
"Anne Arundel County, MD",2012.0,1.8883532299999999
"Anne Arundel County, MD",2013.0,1.8480184899999994
"Anne Arundel County, MD",2014.0,1.8490997500000002
"Anne Arundel County, MD",2015.0,1.8181665
"Anoka County, MN",2007.0,2.16363213
"Anoka County, MN",2008.0,2.093367
"Anoka County, MN",2009.0,2.02827564
"Anoka County, MN",2010.0,1.9933801599999998
"Anoka County, MN",2011.0,1.92091475
"Anoka County, MN",2012.0,1.8754343099999997
"Anoka County, MN",2013.0,1.9416135500000005
"Anoka County, MN",2014.0,1.8967284600000007
"Anoka County, MN",2015.0,1.9313099
"Arapahoe County, CO",2007.0,2.073134059999999
"Arapahoe County, CO",2008.0,2.04169578
"Arapahoe County, CO",2009.0,1.9795983699999997
"Arapahoe County, CO",2010.0,1.8857123099999997
"Arapahoe County, CO",2011.0,1.79767132
"Arapahoe County, CO",2012.0,1.8159330800000002
"Arapahoe County, CO",2013.0,1.7999912599999996
"Arapahoe County, CO",2014.0,1.7412586900000002
"Arapahoe County, CO",2015.0,1.7787829800000001
"Arlington County, VA",2007.0,1.6237066699999998
"Arlington County, VA",2008.0,1.5918298199999998
"Arlington County, VA",2009.0,1.4852498699999994
"Arlington County, VA",2010.0,1.5270937100000004
"Arlington County, VA",2011.0,1.4257412200000001
"Arlington County, VA",2012.0,1.41477739
"Arlington County, VA",2013.0,1.38575684
"Arlington County, VA",2014.0,1.34607092
"Arlington County, VA",2015.0,1.34413969
"Ascension Parish, LA",2014.0,2.1880029600000004
"Ascension Parish, LA",2015.0,2.0398853200000002
"Ashtabula County, OH",2007.0,2.36554319
"Ashtabula County, OH",2008.0,2.1286845399999996
"Ashtabula County, OH",2009.0,2.2344450100000004
"Ashtabula County, OH",2010.0,2.09812635
"Ashtabula County, OH",2011.0,2.06923954
"Ashtabula County, OH",2012.0,1.9932345300000005
"Ashtabula County, OH",2013.0,2.0036544999999997
"Ashtabula County, OH",2014.0,1.97968458
"Ashtabula County, OH",2015.0,2.1112810099999995
"Atlantic County, NJ",2007.0,2.14438284
"Atlantic County, NJ",2008.0,2.1882277199999995
"Atlantic County, NJ",2009.0,2.18809577
"Atlantic County, NJ",2010.0,1.9441282299999996
"Atlantic County, NJ",2011.0,2.04861361
"Atlantic County, NJ",2012.0,1.93868045
"Atlantic County, NJ",2013.0,1.8574668099999998
"Atlantic County, NJ",2014.0,1.79886136
"Atlantic County, NJ",2015.0,1.7302377499999997
"Baldwin County, AL",2007.0,2.32615173
"Baldwin County, AL",2008.0,2.2995230599999994
"Baldwin County, AL",2009.0,2.1071204899999993
"Baldwin County, AL",2010.0,2.0957838200000003
"Baldwin County, AL",2011.0,2.03127306
"Baldwin County, AL",2012.0,1.9334353999999998
"Baldwin County, AL",2013.0,1.9320458599999994
"Baldwin County, AL",2014.0,1.9535959000000003
"Baldwin County, AL",2015.0,2.01573775
"Baltimore County, MD",2007.0,1.9207298199999998
"Baltimore County, MD",2008.0,1.9048437300000003
"Baltimore County, MD",2009.0,1.8331106599999998
"Baltimore County, MD",2010.0,1.7986420100000002
"Baltimore County, MD",2011.0,1.7775599599999996
"Baltimore County, MD",2012.0,1.69569239
