Year,Age of Mother Year,Age of Mother Year Code,Births,Fertility Rate,State
2008.0,13 years,13.0,31.0,,Alabama
2008.0,14 years,14.0,120.0,,Alabama
2008.0,15 years,15.0,330.0,10.06834,Alabama
2008.0,16 years,16.0,768.0,23.10608,Alabama
2008.0,17 years,17.0,1471.0,44.02215,Alabama
2008.0,18 years,18.0,2468.0,70.4539,Alabama
2008.0,19 years,19.0,3522.0,100.87066,Alabama
2008.0,20 years,20.0,3833.0,113.60066,Alabama
2008.0,21 years,21.0,3953.0,118.44905,Alabama
2008.0,22 years,22.0,4024.0,120.81182,Alabama
2008.0,23 years,23.0,4108.0,125.08373,Alabama
2008.0,24 years,24.0,4062.0,131.03649,Alabama
2008.0,25 years,25.0,3957.0,126.51874,Alabama
2008.0,26 years,26.0,3785.0,120.43018,Alabama
2008.0,27 years,27.0,3845.0,113.74057,Alabama
2008.0,28 years,28.0,3684.0,115.27269,Alabama
2008.0,29 years,29.0,3332.0,113.4491,Alabama
2008.0,30 years,30.0,2963.0,99.46291,Alabama
2008.0,31 years,31.0,2703.0,93.93244,Alabama
2008.0,32 years,32.0,2210.0,77.25112,Alabama
2008.0,33 years,33.0,1892.0,63.55605,Alabama
2008.0,34 years,34.0,1654.0,56.18397,Alabama
2008.0,35 years,35.0,1462.0,48.13644,Alabama
2008.0,36 years,36.0,1145.0,35.9272,Alabama
2008.0,37 years,37.0,1033.0,30.9337,Alabama
2008.0,38 years,38.0,724.0,21.81972,Alabama
2008.0,39 years,39.0,542.0,17.37792,Alabama
2008.0,40 years,40.0,359.0,11.92335,Alabama
2008.0,41 years,41.0,231.0,7.43243,Alabama
2008.0,42 years,42.0,144.0,4.44321,Alabama
2008.0,43 years,43.0,92.0,2.65881,Alabama
2008.0,44 years,44.0,52.0,1.50224,Alabama
2008.0,45 years,45.0,22.0,,Alabama
2008.0,15 years,15.0,27.0,5.19431,Alaska
2008.0,16 years,16.0,90.0,17.11027,Alaska
2008.0,17 years,17.0,184.0,34.08039,Alaska
2008.0,18 years,18.0,333.0,61.26955,Alaska
2008.0,19 years,19.0,501.0,114.04507,Alaska
2008.0,20 years,20.0,604.0,132.22417,Alaska
2008.0,21 years,21.0,640.0,140.19715,Alaska
2008.0,22 years,22.0,708.0,150.92731,Alaska
2008.0,23 years,23.0,696.0,135.51402,Alaska
2008.0,24 years,24.0,702.0,139.7293,Alaska
2008.0,25 years,25.0,752.0,143.75836,Alaska
2008.0,26 years,26.0,747.0,148.30256,Alaska
2008.0,27 years,27.0,718.0,149.6145,Alaska
2008.0,28 years,28.0,581.0,121.44649,Alaska
2008.0,29 years,29.0,590.0,131.93202,Alaska
2008.0,30 years,30.0,541.0,117.94201,Alaska
2008.0,31 years,31.0,503.0,121.26326,Alaska
2008.0,32 years,32.0,442.0,108.06846,Alaska
2008.0,33 years,33.0,390.0,91.1215,Alaska
2008.0,34 years,34.0,313.0,75.69528,Alaska
2008.0,35 years,35.0,278.0,63.60101,Alaska
2008.0,36 years,36.0,256.0,60.00938,Alaska
2008.0,37 years,37.0,245.0,51.78609,Alaska
2008.0,38 years,38.0,187.0,41.42667,Alaska
2008.0,39 years,39.0,118.0,26.52878,Alaska
2008.0,40 years,40.0,107.0,23.48036,Alaska
2008.0,41 years,41.0,65.0,14.7929,Alaska
2008.0,42 years,42.0,45.0,10.36866,Alaska
2008.0,43 years,43.0,34.0,6.95866,Alaska
2008.0,44 years,44.0,22.0,4.39297,Alaska
2008.0,45 years,45.0,10.0,,Alaska
2008.0,13 years,13.0,18.0,,Arizona
2008.0,14 years,14.0,142.0,,Arizona
2008.0,15 years,15.0,573.0,13.07891,Arizona
2008.0,16 years,16.0,1252.0,28.43645,Arizona
2008.0,17 years,17.0,2339.0,53.45675,Arizona
2008.0,18 years,18.0,3384.0,73.56682,Arizona
2008.0,19 years,19.0,4503.0,103.36516,Arizona
2008.0,20 years,20.0,5001.0,119.05726,Arizona
2008.0,21 years,21.0,5053.0,122.18595,Arizona
2008.0,22 years,22.0,5306.0,128.47769,Arizona
2008.0,23 years,23.0,5467.0,130.43063,Arizona
2008.0,24 years,24.0,5413.0,128.49242,Arizona
2008.0,25 years,25.0,5621.0,132.502,Arizona
2008.0,26 years,26.0,6016.0,139.3399,Arizona
2008.0,27 years,27.0,5768.0,120.28194,Arizona
2008.0,28 years,28.0,5616.0,121.99944,Arizona
2008.0,29 years,29.0,5186.0,125.06632,Arizona
2008.0,30 years,30.0,4935.0,123.15025,Arizona
2008.0,31 years,31.0,4650.0,117.79011,Arizona
2008.0,32 years,32.0,4134.0,104.45725,Arizona
2008.0,33 years,33.0,3726.0,92.81586,Arizona
2008.0,34 years,34.0,3217.0,83.21908,Arizona
2008.0,35 years,35.0,2853.0,71.60605,Arizona
2008.0,36 years,36.0,2360.0,56.52559,Arizona
2008.0,37 years,37.0,1953.0,46.45023,Arizona
2008.0,38 years,38.0,1603.0,36.91252,Arizona
2008.0,39 years,39.0,1247.0,30.77493,Arizona
2008.0,40 years,40.0,791.0,20.08328,Arizona
2008.0,41 years,41.0,524.0,13.65294,Arizona
2008.0,42 years,42.0,321.0,8.08218,Arizona
2008.0,43 years,43.0,221.0,5.15392,Arizona
2008.0,44 years,44.0,122.0,2.87289,Arizona
2008.0,45 years,45.0,61.0,,Arizona
2008.0,46 years,46.0,23.0,,Arizona
2008.0,47 years,47.0,12.0,,Arizona
2008.0,48 years,48.0,14.0,,Arizona
2008.0,13 years,13.0,14.0,,Arkansas
2008.0,14 years,14.0,59.0,,Arkansas
2008.0,15 years,15.0,235.0,12.25938,Arkansas
2008.0,16 years,16.0,533.0,27.41206,Arkansas
2008.0,17 years,17.0,1021.0,50.78591,Arkansas
2008.0,18 years,18.0,1722.0,84.13544,Arkansas
2008.0,19 years,19.0,2429.0,120.11076,Arkansas
2008.0,20 years,20.0,2682.0,135.4477,Arkansas
2008.0,21 years,21.0,2754.0,140.04577,Arkansas
2008.0,22 years,22.0,2680.0,137.64059,Arkansas
2008.0,23 years,23.0,2658.0,140.72427,Arkansas
2008.0,24 years,24.0,2618.0,138.28439,Arkansas
2008.0,25 years,25.0,2547.0,134.93325,Arkansas
2008.0,26 years,26.0,2424.0,123.94539,Arkansas
2008.0,27 years,27.0,2375.0,112.45265,Arkansas
2008.0,28 years,28.0,2208.0,110.80444,Arkansas
2008.0,29 years,29.0,1943.0,105.83365,Arkansas
2008.0,30 years,30.0,1736.0,95.70539,Arkansas
2008.0,31 years,31.0,1488.0,89.44995,Arkansas
2008.0,32 years,32.0,1254.0,71.78019,Arkansas
2008.0,33 years,33.0,1189.0,67.0577,Arkansas
2008.0,34 years,34.0,903.0,52.61318,Arkansas
2008.0,35 years,35.0,802.0,44.46909,Arkansas
2008.0,36 years,36.0,645.0,35.04482,Arkansas
2008.0,37 years,37.0,521.0,27.12553,Arkansas
2008.0,38 years,38.0,423.0,22.0026,Arkansas
2008.0,39 years,39.0,267.0,14.71642,Arkansas
2008.0,40 years,40.0,225.0,12.51669,Arkansas
2008.0,41 years,41.0,120.0,6.78963,Arkansas
2008.0,42 years,42.0,74.0,4.00433,Arkansas
2008.0,43 years,43.0,56.0,2.77434,Arkansas
2008.0,44 years,44.0,30.0,1.45575,Arkansas
2008.0,45 years,45.0,13.0,,Arkansas
2008.0,46 years,46.0,11.0,,Arkansas
2008.0,10-12 years,,12.0,,California
2008.0,13 years,13.0,85.0,,California
2008.0,14 years,14.0,528.0,,California
2008.0,15 years,15.0,2182.0,8.1178,California
2008.0,16 years,16.0,5507.0,19.82069,California
2008.0,17 years,17.0,9329.0,33.62783,California
2008.0,18 years,18.0,14711.0,52.90623,California
2008.0,19 years,19.0,20001.0,76.04018,California
2008.0,20 years,20.0,22353.0,86.8972,California
2008.0,21 years,21.0,22988.0,90.2297,California
2008.0,22 years,22.0,24617.0,96.74782,California
2008.0,23 years,23.0,25774.0,99.34627,California
2008.0,24 years,24.0,26607.0,103.99087,California
2008.0,25 years,25.0,28270.0,106.41542,California
2008.0,26 years,26.0,29242.0,110.33593,California
2008.0,27 years,27.0,29790.0,107.59485,California
2008.0,28 years,28.0,30206.0,110.88026,California
2008.0,29 years,29.0,29649.0,117.57778,California
2008.0,30 years,30.0,29265.0,117.3708,California
2008.0,31 years,31.0,28771.0,119.49777,California
2008.0,32 years,32.0,26815.0,109.79854,California
2008.0,33 years,33.0,24980.0,99.51914,California
2008.0,34 years,34.0,22841.0,93.80634,California
2008.0,35 years,35.0,20651.0,82.30244,California
2008.0,36 years,36.0,18279.0,71.77073,California
2008.0,37 years,37.0,15465.0,57.80336,California
2008.0,38 years,38.0,12758.0,45.42477,California
2008.0,39 years,39.0,9830.0,37.62103,California
2008.0,40 years,40.0,7227.0,28.21713,California
2008.0,41 years,41.0,4910.0,19.39653,California
2008.0,42 years,42.0,3227.0,12.81486,California
2008.0,43 years,43.0,2129.0,7.79751,California
2008.0,44 years,44.0,1162.0,4.28483,California
2008.0,45 years,45.0,672.0,,California
2008.0,46 years,46.0,370.0,,California
2008.0,47 years,47.0,208.0,,California
2008.0,48 years,48.0,116.0,,California
2008.0,49 years,49.0,85.0,,California
2008.0,50 years and over,,167.0,,California
2008.0,13 years,13.0,13.0,,Colorado
2008.0,14 years,14.0,70.0,,Colorado
2008.0,15 years,15.0,265.0,8.17624,Colorado
2008.0,16 years,16.0,676.0,20.49106,Colorado
2008.0,17 years,17.0,1234.0,37.57842,Colorado
2008.0,18 years,18.0,1894.0,56.96412,Colorado
2008.0,19 years,19.0,2569.0,79.18259,Colorado
2008.0,20 years,20.0,2873.0,90.21541,Colorado
2008.0,21 years,21.0,3052.0,95.86029,Colorado
2008.0,22 years,22.0,3338.0,102.25463,Colorado
2008.0,23 years,23.0,3232.0,96.28217,Colorado
2008.0,24 years,24.0,3471.0,101.79184,Colorado
2008.0,25 years,25.0,3741.0,106.69975,Colorado
2008.0,26 years,26.0,3912.0,105.6184,Colorado
2008.0,27 years,27.0,3907.0,112.71059,Colorado
2008.0,28 years,28.0,4037.0,115.39891,Colorado
2008.0,29 years,29.0,3916.0,117.03177,Colorado
2008.0,30 years,30.0,3935.0,115.02148,Colorado
2008.0,31 years,31.0,3625.0,109.39103,Colorado
2008.0,32 years,32.0,3332.0,105.88198,Colorado
2008.0,33 years,33.0,3187.0,94.02012,Colorado
2008.0,34 years,34.0,2860.0,88.05419,Colorado
2008.0,35 years,35.0,2439.0,73.85761,Colorado
2008.0,36 years,36.0,2174.0,63.08764,Colorado
2008.0,37 years,37.0,1800.0,51.21056,Colorado
2008.0,38 years,38.0,1458.0,39.42245,Colorado
2008.0,39 years,39.0,1082.0,31.40146,Colorado
2008.0,40 years,40.0,708.0,21.7078,Colorado
2008.0,41 years,41.0,530.0,16.16346,Colorado
2008.0,42 years,42.0,297.0,9.01831,Colorado
2008.0,43 years,43.0,186.0,5.17486,Colorado
2008.0,44 years,44.0,103.0,2.83887,Colorado
2008.0,45 years,45.0,56.0,,Colorado
2008.0,46 years,46.0,24.0,,Colorado
2008.0,47 years,47.0,17.0,,Colorado
2008.0,48 years,48.0,11.0,,Colorado
2008.0,14 years,14.0,21.0,,Connecticut
2008.0,15 years,15.0,96.0,3.87691,Connecticut
2008.0,16 years,16.0,255.0,10.12065,Connecticut
2008.0,17 years,17.0,495.0,19.7739,Connecticut
2008.0,18 years,18.0,812.0,32.56859,Connecticut
2008.0,19 years,19.0,1131.0,48.07651,Connecticut
2008.0,20 years,20.0,1284.0,57.24987,Connecticut
2008.0,21 years,21.0,1385.0,63.32297,Connecticut
2008.0,22 years,22.0,1435.0,66.82189,Connecticut
2008.0,23 years,23.0,1457.0,68.66811,Connecticut
2008.0,24 years,24.0,1563.0,79.17131,Connecticut
2008.0,25 years,25.0,1722.0,80.01115,Connecticut
2008.0,26 years,26.0,1890.0,92.71523,Connecticut
2008.0,27 years,27.0,2068.0,104.53948,Connecticut
2008.0,28 years,28.0,2235.0,107.72642,Connecticut
2008.0,29 years,29.0,2378.0,116.18703,Connecticut
2008.0,30 years,30.0,2416.0,116.63609,Connecticut
2008.0,31 years,31.0,2399.0,116.82493,Connecticut
2008.0,32 years,32.0,2396.0,116.34457,Connecticut
2008.0,33 years,33.0,2231.0,109.23958,Connecticut
2008.0,34 years,34.0,2002.0,98.9326,Connecticut
2008.0,35 years,35.0,1844.0,85.17714,Connecticut
2008.0,36 years,36.0,1627.0,68.74551,Connecticut
2008.0,37 years,37.0,1434.0,57.00883,Connecticut
2008.0,38 years,38.0,1159.0,43.34655,Connecticut
2008.0,39 years,39.0,923.0,35.5369,Connecticut
2008.0,40 years,40.0,648.0,25.00772,Connecticut
2008.0,41 years,41.0,469.0,17.80494,Connecticut
2008.0,42 years,42.0,279.0,9.91894,Connecticut
2008.0,43 years,43.0,180.0,6.0549,Connecticut
2008.0,44 years,44.0,68.0,2.24297,Connecticut
2008.0,45 years,45.0,53.0,,Connecticut
2008.0,46 years,46.0,17.0,,Connecticut
2008.0,14 years,14.0,18.0,,Delaware
2008.0,15 years,15.0,53.0,8.63896,Delaware
2008.0,16 years,16.0,111.0,18.35317,Delaware
2008.0,17 years,17.0,207.0,34.05726,Delaware
2008.0,18 years,18.0,338.0,47.34557,Delaware
2008.0,19 years,19.0,528.0,76.77766,Delaware
2008.0,20 years,20.0,605.0,91.55569,Delaware
2008.0,21 years,21.0,571.0,89.8788,Delaware
2008.0,22 years,22.0,664.0,110.99967,Delaware
2008.0,23 years,23.0,574.0,103.36755,Delaware
2008.0,24 years,24.0,597.0,106.03908,Delaware
2008.0,25 years,25.0,677.0,119.52684,Delaware
2008.0,26 years,26.0,694.0,125.0,Delaware
2008.0,27 years,27.0,700.0,112.93966,Delaware
2008.0,28 years,28.0,709.0,121.09308,Delaware
2008.0,29 years,29.0,720.0,117.28295,Delaware
2008.0,30 years,30.0,620.0,106.00103,Delaware
2008.0,31 years,31.0,581.0,120.06613,Delaware
2008.0,32 years,32.0,554.0,107.1774,Delaware
2008.0,33 years,33.0,472.0,89.52959,Delaware
2008.0,34 years,34.0,420.0,81.34805,Delaware
2008.0,35 years,35.0,378.0,69.42149,Delaware
2008.0,36 years,36.0,321.0,57.22945,Delaware
2008.0,37 years,37.0,290.0,47.00924,Delaware
2008.0,38 years,38.0,225.0,35.76538,Delaware
2008.0,39 years,39.0,176.0,30.08547,Delaware
2008.0,40 years,40.0,104.0,16.53155,Delaware
2008.0,41 years,41.0,83.0,13.13083,Delaware
2008.0,42 years,42.0,41.0,6.3438,Delaware
2008.0,43 years,43.0,26.0,3.89864,Delaware
2008.0,44 years,44.0,10.0,1.47601,Delaware
2008.0,45 years,45.0,11.0,,Delaware
2008.0,14 years,14.0,26.0,,District of Columbia
2008.0,15 years,15.0,70.0,23.23266,District of Columbia
2008.0,16 years,16.0,121.0,41.73853,District of Columbia
2008.0,17 years,17.0,198.0,67.1414,District of Columbia
2008.0,18 years,18.0,321.0,57.31119,District of Columbia
2008.0,19 years,19.0,373.0,55.51421,District of Columbia
2008.0,20 years,20.0,342.0,57.75076,District of Columbia
2008.0,21 years,21.0,395.0,63.87451,District of Columbia
2008.0,22 years,22.0,395.0,61.04157,District of Columbia
2008.0,23 years,23.0,394.0,57.66979,District of Columbia
2008.0,24 years,24.0,385.0,53.56894,District of Columbia
2008.0,25 years,25.0,408.0,58.3691,District of Columbia
2008.0,26 years,26.0,388.0,54.6325,District of Columbia
2008.0,27 years,27.0,437.0,60.91441,District of Columbia
2008.0,28 years,28.0,405.0,66.40433,District of Columbia
2008.0,29 years,29.0,408.0,68.72158,District of Columbia
2008.0,30 years,30.0,450.0,73.21835,District of Columbia
2008.0,31 years,31.0,486.0,98.26122,District of Columbia
2008.0,32 years,32.0,472.0,93.09665,District of Columbia
2008.0,33 years,33.0,410.0,77.06767,District of Columbia
2008.0,34 years,34.0,404.0,92.57562,District of Columbia
2008.0,35 years,35.0,368.0,82.67805,District of Columbia
2008.0,36 years,36.0,381.0,92.76844,District of Columbia
2008.0,37 years,37.0,290.0,68.29958,District of Columbia
2008.0,38 years,38.0,250.0,51.9103,District of Columbia
2008.0,39 years,39.0,185.0,50.47749,District of Columbia
2008.0,40 years,40.0,127.0,34.15815,District of Columbia
2008.0,41 years,41.0,98.0,27.04941,District of Columbia
2008.0,42 years,42.0,37.0,10.62913,District of Columbia
2008.0,43 years,43.0,32.0,8.48806,District of Columbia
2008.0,44 years,44.0,29.0,7.17112,District of Columbia
2008.0,45 years,45.0,18.0,,District of Columbia
2008.0,10-12 years,,11.0,,Florida
2008.0,13 years,13.0,58.0,,Florida
2008.0,14 years,14.0,287.0,,Florida
2008.0,15 years,15.0,895.0,7.72918,Florida
2008.0,16 years,16.0,2147.0,18.25122,Florida
2008.0,17 years,17.0,4237.0,34.64205,Florida
2008.0,18 years,18.0,6970.0,55.22498,Florida
2008.0,19 years,19.0,9828.0,81.62181,Florida
2008.0,20 years,20.0,11078.0,93.42531,Florida
2008.0,21 years,21.0,11445.0,97.27841,Florida
2008.0,22 years,22.0,12388.0,105.67622,Florida
2008.0,23 years,23.0,12323.0,104.60152,Florida
2008.0,24 years,24.0,12423.0,105.8989,Florida
2008.0,25 years,25.0,12821.0,109.97881,Florida
2008.0,26 years,26.0,13020.0,110.88495,Florida
2008.0,27 years,27.0,12819.0,104.5297,Florida
2008.0,28 years,28.0,12764.0,108.94596,Florida
2008.0,29 years,29.0,12150.0,113.812,Florida
2008.0,30 years,30.0,11622.0,107.15768,Florida
2008.0,31 years,31.0,11134.0,104.94368,Florida
2008.0,32 years,32.0,9965.0,93.78559,Florida
2008.0,33 years,33.0,9106.0,82.95074,Florida
2008.0,34 years,34.0,8189.0,75.17672,Florida
2008.0,35 years,35.0,7380.0,65.15233,Florida
2008.0,36 years,36.0,6524.0,53.82616,Florida
2008.0,37 years,37.0,5571.0,44.06286,Florida
2008.0,38 years,38.0,4361.0,33.94382,Florida
2008.0,39 years,39.0,3275.0,26.96405,Florida
2008.0,40 years,40.0,2388.0,19.64268,Florida
2008.0,41 years,41.0,1611.0,13.04728,Florida
2008.0,42 years,42.0,1160.0,8.99936,Florida
2008.0,43 years,43.0,670.0,4.82177,Florida
2008.0,44 years,44.0,376.0,2.67947,Florida
2008.0,45 years,45.0,214.0,,Florida
2008.0,46 years,46.0,112.0,,Florida
2008.0,47 years,47.0,64.0,,Florida
2008.0,48 years,48.0,28.0,,Florida
2008.0,49 years,49.0,16.0,,Florida
2008.0,50 years and over,,15.0,,Florida
2008.0,13 years,13.0,43.0,,Georgia
2008.0,14 years,14.0,210.0,,Georgia
2008.0,15 years,15.0,725.0,10.56728,Georgia
2008.0,16 years,16.0,1626.0,23.47642,Georgia
2008.0,17 years,17.0,3162.0,45.93393,Georgia
2008.0,18 years,18.0,4943.0,70.04988,Georgia
2008.0,19 years,19.0,6817.0,100.20137,Georgia
2008.0,20 years,20.0,7805.0,118.57918,Georgia
2008.0,21 years,21.0,7791.0,119.55254,Georgia
2008.0,22 years,22.0,7978.0,124.33376,Georgia
2008.0,23 years,23.0,7974.0,121.78508,Georgia
2008.0,24 years,24.0,7895.0,120.67621,Georgia
2008.0,25 years,25.0,7960.0,118.39424,Georgia
2008.0,26 years,26.0,8129.0,118.70272,Georgia
2008.0,27 years,27.0,8309.0,115.21715,Georgia
2008.0,28 years,28.0,8123.0,114.00222,Georgia
2008.0,29 years,29.0,7806.0,117.75887,Georgia
2008.0,30 years,30.0,7270.0,110.83331,Georgia
2008.0,31 years,31.0,6759.0,104.95505,Georgia
2008.0,32 years,32.0,5977.0,92.01188,Georgia
2008.0,33 years,33.0,5548.0,81.63385,Georgia
2008.0,34 years,34.0,4815.0,72.66828,Georgia
2008.0,35 years,35.0,4381.0,62.39319,Georgia
2008.0,36 years,36.0,3776.0,52.14893,Georgia
2008.0,37 years,37.0,3210.0,42.17801,Georgia
2008.0,38 years,38.0,2471.0,32.98009,Georgia
2008.0,39 years,39.0,1767.0,24.66017,Georgia
2008.0,40 years,40.0,1241.0,18.03569,Georgia
2008.0,41 years,41.0,822.0,11.81527,Georgia
2008.0,42 years,42.0,497.0,7.00543,Georgia
2008.0,43 years,43.0,361.0,4.80468,Georgia
2008.0,44 years,44.0,201.0,2.68232,Georgia
2008.0,45 years,45.0,92.0,,Georgia
2008.0,46 years,46.0,48.0,,Georgia
2008.0,47 years,47.0,35.0,,Georgia
2008.0,48 years,48.0,13.0,,Georgia
2008.0,50 years and over,,14.0,,Georgia
2008.0,14 years,14.0,12.0,,Hawaii
2008.0,15 years,15.0,45.0,5.32104,Hawaii
2008.0,16 years,16.0,122.0,14.71298,Hawaii
2008.0,17 years,17.0,265.0,30.02152,Hawaii
2008.0,18 years,18.0,475.0,57.19446,Hawaii
2008.0,19 years,19.0,718.0,91.5466,Hawaii
2008.0,20 years,20.0,807.0,98.55887,Hawaii
2008.0,21 years,21.0,834.0,101.71972,Hawaii
2008.0,22 years,22.0,942.0,109.14147,Hawaii
2008.0,23 years,23.0,973.0,109.10518,Hawaii
2008.0,24 years,24.0,1034.0,116.54644,Hawaii
2008.0,25 years,25.0,1070.0,108.31056,Hawaii
2008.0,26 years,26.0,1100.0,114.48793,Hawaii
2008.0,27 years,27.0,1088.0,116.90126,Hawaii
2008.0,28 years,28.0,1044.0,109.68691,Hawaii
2008.0,29 years,29.0,989.0,114.73318,Hawaii
2008.0,30 years,30.0,1080.0,127.78041,Hawaii
2008.0,31 years,31.0,935.0,116.77282,Hawaii
2008.0,32 years,32.0,894.0,108.45566,Hawaii
2008.0,33 years,33.0,831.0,101.2057,Hawaii
2008.0,34 years,34.0,793.0,101.58852,Hawaii
2008.0,35 years,35.0,668.0,81.36419,Hawaii
2008.0,36 years,36.0,631.0,72.5621,Hawaii
2008.0,37 years,37.0,565.0,63.91403,Hawaii
2008.0,38 years,38.0,473.0,50.8821,Hawaii
2008.0,39 years,39.0,355.0,41.76471,Hawaii
2008.0,40 years,40.0,249.0,28.2441,Hawaii
2008.0,41 years,41.0,189.0,21.87753,Hawaii
2008.0,42 years,42.0,137.0,16.12144,Hawaii
2008.0,43 years,43.0,77.0,8.10868,Hawaii
2008.0,44 years,44.0,41.0,4.3696,Hawaii
2008.0,45 years,45.0,22.0,,Hawaii
2008.0,46 years,46.0,13.0,,Hawaii
2008.0,14 years,14.0,13.0,,Idaho
2008.0,15 years,15.0,87.0,7.81601,Idaho
2008.0,16 years,16.0,168.0,15.05511,Idaho
2008.0,17 years,17.0,396.0,35.03805,Idaho
2008.0,18 years,18.0,634.0,53.85661,Idaho
2008.0,19 years,19.0,976.0,83.64758,Idaho
2008.0,20 years,20.0,1157.0,104.57339,Idaho
2008.0,21 years,21.0,1314.0,123.09133,Idaho
2008.0,22 years,22.0,1488.0,143.17329,Idaho
2008.0,23 years,23.0,1637.0,152.54869,Idaho
2008.0,24 years,24.0,1684.0,164.88789,Idaho
2008.0,25 years,25.0,1720.0,161.54785,Idaho
2008.0,26 years,26.0,1750.0,162.97262,Idaho
2008.0,27 years,27.0,1587.0,156.40091,Idaho
2008.0,28 years,28.0,1610.0,153.36255,Idaho
2008.0,29 years,29.0,1488.0,142.22902,Idaho
2008.0,30 years,30.0,1277.0,140.17563,Idaho
2008.0,31 years,31.0,1170.0,118.22959,Idaho
2008.0,32 years,32.0,999.0,106.7764,Idaho
2008.0,33 years,33.0,820.0,87.85087,Idaho
2008.0,34 years,34.0,691.0,73.99871,Idaho
2008.0,35 years,35.0,576.0,62.08904,Idaho
2008.0,36 years,36.0,508.0,54.83001,Idaho
2008.0,37 years,37.0,432.0,43.24757,Idaho
2008.0,38 years,38.0,308.0,31.01087,Idaho
2008.0,39 years,39.0,232.0,24.36975,Idaho
2008.0,40 years,40.0,138.0,15.43452,Idaho
2008.0,41 years,41.0,102.0,11.23472,Idaho
2008.0,42 years,42.0,74.0,7.87485,Idaho
2008.0,43 years,43.0,48.0,4.94998,Idaho
2008.0,44 years,44.0,19.0,1.89205,Idaho
2008.0,45 years,45.0,14.0,,Idaho
2008.0,13 years,13.0,37.0,,Illinois
2008.0,14 years,14.0,209.0,,Illinois
2008.0,15 years,15.0,728.0,8.07624,Illinois
2008.0,16 years,16.0,1691.0,18.57629,Illinois
2008.0,17 years,17.0,3233.0,35.12832,Illinois
2008.0,18 years,18.0,5180.0,55.95282,Illinois
2008.0,19 years,19.0,6578.0,76.31887,Illinois
2008.0,20 years,20.0,7104.0,84.63188,Illinois
2008.0,21 years,21.0,7323.0,88.42494,Illinois
2008.0,22 years,22.0,7729.0,89.96415,Illinois
2008.0,23 years,23.0,7787.0,88.32604,Illinois
2008.0,24 years,24.0,8477.0,96.98641,Illinois
2008.0,25 years,25.0,9063.0,98.57516,Illinois
2008.0,26 years,26.0,9405.0,105.12608,Illinois
2008.0,27 years,27.0,9873.0,104.69777,Illinois
2008.0,28 years,28.0,10471.0,113.04967,Illinois
2008.0,29 years,29.0,10497.0,123.5959,Illinois
2008.0,30 years,30.0,10259.0,119.15353,Illinois
2008.0,31 years,31.0,9843.0,115.45635,Illinois
2008.0,32 years,32.0,8824.0,105.75644,Illinois
2008.0,33 years,33.0,8016.0,94.0183,Illinois
2008.0,34 years,34.0,7223.0,88.59533,Illinois
2008.0,35 years,35.0,6229.0,74.4677,Illinois
2008.0,36 years,36.0,5322.0,60.77216,Illinois
2008.0,37 years,37.0,4444.0,48.73341,Illinois
2008.0,38 years,38.0,3636.0,38.79145,Illinois
2008.0,39 years,39.0,2596.0,29.70116,Illinois
2008.0,40 years,40.0,1858.0,21.54927,Illinois
2008.0,41 years,41.0,1271.0,14.81594,Illinois
2008.0,42 years,42.0,772.0,8.80073,Illinois
2008.0,43 years,43.0,477.0,4.99848,Illinois
2008.0,44 years,44.0,283.0,2.98633,Illinois
2008.0,45 years,45.0,146.0,,Illinois
2008.0,46 years,46.0,93.0,,Illinois
2008.0,47 years,47.0,37.0,,Illinois
2008.0,48 years,48.0,38.0,,Illinois
2008.0,49 years,49.0,17.0,,Illinois
2008.0,50 years and over,,18.0,,Illinois
2008.0,13 years,13.0,15.0,,Indiana
2008.0,14 years,14.0,97.0,,Indiana
2008.0,15 years,15.0,333.0,7.40889,Indiana
2008.0,16 years,16.0,806.0,17.81885,Indiana
2008.0,17 years,17.0,1592.0,34.26972,Indiana
2008.0,18 years,18.0,2754.0,57.55125,Indiana
2008.0,19 years,19.0,4122.0,84.62328,Indiana
2008.0,20 years,20.0,4596.0,98.44704,Indiana
2008.0,21 years,21.0,4761.0,103.85446,Indiana
2008.0,22 years,22.0,5367.0,120.56881,Indiana
2008.0,23 years,23.0,5110.0,121.27397,Indiana
2008.0,24 years,24.0,5232.0,128.32651,Indiana
2008.0,25 years,25.0,5449.0,130.12848,Indiana
2008.0,26 years,26.0,5429.0,126.52357,Indiana
2008.0,27 years,27.0,5437.0,125.32848,Indiana
2008.0,28 years,28.0,5568.0,130.19993,Indiana
2008.0,29 years,29.0,5057.0,126.20099,Indiana
2008.0,30 years,30.0,4581.0,113.63016,Indiana
2008.0,31 years,31.0,4106.0,104.23965,Indiana
2008.0,32 years,32.0,3502.0,91.25733,Indiana
2008.0,33 years,33.0,3050.0,75.94243,Indiana
2008.0,34 years,34.0,2594.0,65.59947,Indiana
2008.0,35 years,35.0,2227.0,55.35395,Indiana
2008.0,36 years,36.0,1910.0,45.45779,Indiana
2008.0,37 years,37.0,1532.0,33.98855,Indiana
2008.0,38 years,38.0,1121.0,25.21027,Indiana
2008.0,39 years,39.0,840.0,20.13761,Indiana
2008.0,40 years,40.0,586.0,14.28223,Indiana
2008.0,41 years,41.0,396.0,9.40037,Indiana
2008.0,42 years,42.0,237.0,5.50356,Indiana
2008.0,43 years,43.0,163.0,3.53296,Indiana
2008.0,44 years,44.0,87.0,1.81757,Indiana
